dpt_promotion_id,promotion_code,promotion_name,transaction_promo_cashback_amount
d6d58a75dd5d629a6db1cb9f383f468502bfe507d1352a7c263d579b2257013f,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,150000.0
492c51e6c6a4392b2758d93961bee0a778b42151644ebc4581847935d4a56119,VISAPPRNC,PAPERVISA - Non Corporate,16343.999999999998
657348cf65794dac63887d289733c45a553049b766407401d319773d06f2b987,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,45000.0
35f36305f75d6878d2faef1d65872b3110d2cc67308839088d56575589bdc4cf,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,14375.0
35f36305f75d6878d2faef1d65872b3110d2cc67308839088d56575589bdc4cf,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,75816.25
877cbc48ac832c9f872a12d06d949376f0d918ad48868dbc79bc73f437df7896,PPRMAYN2,Promo Loyalty Mei 2,450000.0
645ac6c47a4d2560dd5ed4e6e62d7dd018ef0cc2e85653134059aeda89e25429,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,30348.0
0a77054fc75a9d6dbb33ae4be6e3420e557715ef8c3a2a0d2e814e4aa56d159c,PPRMARF1,MERIAH-1,499800.0
492c51e6c6a4392b2758d93961bee0a778b42151644ebc4581847935d4a56119,VISAPPRNC,PAPERVISA - Non Corporate,72000.0
492c51e6c6a4392b2758d93961bee0a778b42151644ebc4581847935d4a56119,VISAPPRNC,PAPERVISA - Non Corporate,36000.0
b92d45bb90f211e9c80eda0ae701c69242c9858724d7d5c35e83ed2160762965,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,15360.0
b92d45bb90f211e9c80eda0ae701c69242c9858724d7d5c35e83ed2160762965,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,23850.0
7f81cfea6d98654a3b013dea4ca098c841279d5747b8c5b28d9dc0ec31aa7ae9,PPRJUNF2,Promo Loyalty Juni 2,62230.76125
492c51e6c6a4392b2758d93961bee0a778b42151644ebc4581847935d4a56119,VISAPPRNC,PAPERVISA - Non Corporate,59999.99999999999
ad7e232b65be604d8e1aafbdaafee5e8f1ddc69d60d22595f00ae28d3c0ddd00,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,35000.0
8526bd4c62d888dd381656707925a20f464b6c87ca1512aa4e715a2621f91f63,PPRDAN23,[Paper Danamon Cashback] Januari-Maret 2023,50000.0
1aeb4f8e2bcd20d40daaf7579a53477e4547aee7741055ba02912ad1bbd1dec7,PPRTKP,PPRTKP Cashback Tokopedia CC,8500.0
1aeb4f8e2bcd20d40daaf7579a53477e4547aee7741055ba02912ad1bbd1dec7,PPRTKP,PPRTKP Cashback Tokopedia CC,12300.0
b92d45bb90f211e9c80eda0ae701c69242c9858724d7d5c35e83ed2160762965,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,24000.0
0637b376c44d6c27b5f716b819fe330812b7727e37abec4251edc4ca89f64358,PPRFEBL1,Feb-bastic 1,285000.0
ab2f873a8a00fa2540d4096b8f0d622306662fb708c268a79641f7994de2ef72,PPRJUNV1,Promo Loyalty Juni 1,88750.0
6f4716fd7e3cbd6db611be014c647f08203b97c53c6a41a1ef401fb054add322,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,1000000.0
492c51e6c6a4392b2758d93961bee0a778b42151644ebc4581847935d4a56119,VISAPPRNC,PAPERVISA - Non Corporate,24000.0
35f36305f75d6878d2faef1d65872b3110d2cc67308839088d56575589bdc4cf,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,33165.0
da78183844e6f3eecede6a09f73b1d81e5c393f3a2e7025efed19cc1f8a82da0,PPRAPRV1,KETUPAT,298312.5
bf7b6125bd4d5bd39a5f1d90a49fb0224dc56f4ed7bce4513c666570f34d58da,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,10725.0
d6d58a75dd5d629a6db1cb9f383f468502bfe507d1352a7c263d579b2257013f,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,250000.0
a37f3a2697886e913feeacd732873a757bd97009f8bf89004778d025ab1c59ec,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,20789.457
b92d45bb90f211e9c80eda0ae701c69242c9858724d7d5c35e83ed2160762965,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,204848.07
35f36305f75d6878d2faef1d65872b3110d2cc67308839088d56575589bdc4cf,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,81662.83750000001
8526bd4c62d888dd381656707925a20f464b6c87ca1512aa4e715a2621f91f63,PPRDAN23,[Paper Danamon Cashback] Januari-Maret 2023,50000.0
81aceb1882fdedde3ce44f9a5aed7578493264c7d00b864a17c0bb3d18ee54fe,PPRJULV1,Promo Loyalty Juli,250000.0
b8cff4ea4b0826287e934ea6569821233b650ba101564ea3ccd840db77fb9344,PPRAUGF1,Promo Loyalty Agustus,2900.0
645ac6c47a4d2560dd5ed4e6e62d7dd018ef0cc2e85653134059aeda89e25429,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,69000.0
c13d786f3fabe79e4ef1098c1b92b4d1a1af940d07e7529df77ae857e3c8139a,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,249999.0
30d63dbcd536c2d5f020f5f630b78445b8e07efc10bdb744ade8f855e2012982,PPRTKP1023,PPRTKP1023 Cashback Tokopedia CC,79000.0
